,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
292,Chicago,River North Gym at the MART,41.87,-87.63,4.7,City Center Campus,20
293,Chicago,POW! Gym Chicago,41.87,-87.63,5,City Center Campus,20
294,Chicago,Coöp Gym,41.87,-87.63,3.8,City Center Campus,20
295,Chicago,FIT RESULTS - South Loop Gym,41.87,-87.63,5,City Center Campus,20
296,Chicago,Equinox The Loop,41.87,-87.63,3.9,City Center Campus,20
297,Chicago,Energym Gym & Nutrition Bar,41.87,-87.63,4.5,City Center Campus,20
298,Chicago,Lakeshore Sport & Fitness Illinois Center,41.87,-87.63,4.5,City Center Campus,20
299,Chicago,TITLE Boxing Club Chicago West Loop,41.87,-87.63,4.7,City Center Campus,20
300,Chicago,The Foundry - Union Station CrossFit,41.87,-87.63,5,City Center Campus,20
301,Chicago,St Francis of Assisi Gym,41.87,-87.63,NAN,City Center Campus,20
302,Chicago,South Loop Strength & Conditioning - Home of South Loop CrossFit,41.87,-87.63,4.9,City Center Campus,20
303,Chicago,Fitness Formula Clubs Corporate Headquarters,41.87,-87.63,3.7,City Center Campus,20
304,Chicago,Franklin Street Boxing Club,41.87,-87.63,5,City Center Campus,20
305,Chicago,TITLE Boxing Club Chicago South Loop,41.87,-87.63,5,City Center Campus,20
306,Chicago,Body Shot Boxing Club,41.87,-87.63,4.4,City Center Campus,20
307,Chicago,ENRGi Fitness,41.87,-87.63,4.8,City Center Campus,20
308,Chicago,FitPro West,41.87,-87.63,5,City Center Campus,20
309,Chicago,Brick Crossfit Chicago,41.87,-87.63,4.5,City Center Campus,20
310,Chicago,Planet Fitness,41.87,-87.62,4.1,The Downtown District,20
311,Chicago,UFC Gym,41.87,-87.62,3.2,The Downtown District,20
312,Chicago,River North Gym at the MART,41.87,-87.62,4.7,The Downtown District,20
313,Chicago,FIT RESULTS - South Loop Gym,41.87,-87.62,5,The Downtown District,20
314,Chicago,Equinox The Loop,41.87,-87.62,3.9,The Downtown District,20
315,Chicago,Lakeshore Sport & Fitness Illinois Center,41.87,-87.62,4.5,The Downtown District,20
316,Chicago,TITLE Boxing Club Chicago West Loop,41.87,-87.62,4.7,The Downtown District,20
317,Chicago,The Foundry - Union Station CrossFit,41.87,-87.62,5,The Downtown District,20
318,Chicago,St Francis of Assisi Gym,41.87,-87.62,NAN,The Downtown District,20
319,Chicago,South Loop Strength & Conditioning - Home of South Loop CrossFit,41.87,-87.62,4.9,The Downtown District,20
320,Chicago,Fitness Formula Clubs Corporate Headquarters,41.87,-87.62,3.7,The Downtown District,20
321,Chicago,Franklin Street Boxing Club,41.87,-87.62,5,The Downtown District,20
322,Chicago,TITLE Boxing Club Chicago South Loop,41.87,-87.62,5,The Downtown District,20
323,Chicago,Body Shot Boxing Club,41.87,-87.62,4.4,The Downtown District,20
324,Chicago,ENRGi Fitness,41.87,-87.62,4.8,The Downtown District,20
325,Chicago,FitPro West,41.87,-87.62,5,The Downtown District,20
326,Chicago,Brick Crossfit Chicago,41.87,-87.62,4.5,The Downtown District,20
327,Chicago,CrossFit Commitment,41.87,-87.62,4.7,The Downtown District,20
328,Chicago,Energym Gym & Nutrition Bar,41.87,-87.62,4.5,The Downtown District,20
329,Chicago,UFC Gym River North,41.87,-87.62,4.8,The Downtown District,20
330,Chicago,"Planet Fitness - Chicago (Little Village), IL",41.86,-87.67,4.2,The Illinois Medical District,14
331,Chicago,POW! Gym Chicago,41.86,-87.67,5,The Illinois Medical District,14
